SKU,committed,totalLocationsQuantity
CR-P46-High-Vis-Yellow-/-Grey-3XL,0,40
CR-V32P-High-Vis-Yellow-S,5,135
CR-P36-High-Vis-Orange-/-Navy-7XL,0,100
CR-V16-High-Vis-Orange-8-10,4,96
CR-V32-Pink-7XL,1,140
CR-P41-High-Vis-Yellow-/-Grey-XL,0,250
CR-V22-Sun-Yellow-3XL,0,94
CR-V22-Aqua-XS,0,49
CR-V32-Pink-L,29,119
CR-V52-High-Vis-Yellow-5XL,0,199
LW-W05-Sky-Blue-2XL,0,0
CR-P31-High-Vis-Yellow-/-Navy-L,0,500
CR-P36-High-Vis-Yellow-/-Navy-5XL,0,100
CR-VDN-STAFF-HIGH-VIS-YELLOW-XL,0,0
CR-V22-Pea-Green-3XL,3,91
CR-F22-High-Vis-Orange-/-Navy-XL,0,320
CR-V22-Aqua-2XL,0,23
